Zadanie nr 9 - Sprezyna o charakterystyce nieliniowej - Informatyka II
x0=5.000000	v0=2.000000	m=3.000000	k1=6.000000	k2=1.000000

Czas[s]		X		V		 Energia Mechaniczna
0.001000	5.001870	1.739855	1018.500000	
0.002000	5.003480	1.479444	1018.500000	
0.003000	5.004829	1.218809	1018.500000	
0.004000	5.005917	0.957988	1018.500000	
0.005000	5.006745	0.697022	1018.500000	
0.006000	5.007311	0.435948	1018.500000	
0.007000	5.007617	0.174809	1018.500000	
0.008000	5.007661	-0.086357	1018.500000	
0.009000	5.007444	-0.347510	1018.500000	
0.010000	5.006966	-0.608610	1018.500000	
0.011000	5.006227	-0.869617	1018.500000	
0.012000	5.005227	-1.130492	1018.500000	
0.013000	5.003966	-1.391195	1018.500000	
0.014000	5.002444	-1.651686	1018.500000	
0.015000	5.000662	-1.911925	1018.500000	
0.016000	4.998621	-2.171874	1018.500000	
0.017000	4.996319	-2.431493	1018.500000	
0.018000	4.993758	-2.690743	1018.500000	
0.019000	4.990937	-2.949584	1018.500000	
0.020000	4.987859	-3.207980	1018.500000	
0.021000	4.984522	-3.465889	1018.500000	
0.022000	4.980927	-3.723276	1018.500000	
0.023000	4.977075	-3.980100	1018.500000	
0.024000	4.972967	-4.236326	1018.500000	
0.025000	4.968603	-4.491914	1018.500000	
0.026000	4.963983	-4.746828	1018.500000	
0.027000	4.959109	-5.001030	1018.500000	
0.028000	4.953982	-5.254485	1018.500000	
0.029000	4.948601	-5.507155	1018.500000	
0.030000	4.942968	-5.759005	1018.500000	
0.031000	4.937083	-6.010000	1018.500000	
0.032000	4.930948	-6.260103	1018.500000	
0.033000	4.924563	-6.509281	1018.500000	
0.034000	4.917930	-6.757499	1018.500000	
0.035000	4.911048	-7.004723	1018.500000	
0.036000	4.903921	-7.250919	1018.500000	
0.037000	4.896547	-7.496054	1018.500000	
0.038000	4.888929	-7.740096	1018.500000	
0.039000	4.881067	-7.983012	1018.500000	
0.040000	4.872963	-8.224772	1018.500000	
0.041000	4.864618	-8.465343	1018.500000	
0.042000	4.856033	-8.704695	1018.500000	
0.043000	4.847209	-8.942799	1018.500000	
0.044000	4.838148	-9.179623	1018.500000	
0.045000	4.828850	-9.415141	1018.500000	
0.046000	4.819318	-9.649322	1018.500000	
0.047000	4.809552	-9.882139	1018.500000	
0.048000	4.799554	-10.113565	1018.500000	
0.049000	4.789325	-10.343573	1018.500000	
0.050000	4.778867	-10.572137	1018.500000	
0.051000	4.768182	-10.799231	1018.500000	
0.052000	4.757269	-11.024831	1018.500000	
0.053000	4.746132	-11.248911	1018.500000	
0.054000	4.734772	-11.471449	1018.500000	
0.055000	4.723190	-11.692420	1018.500000	
0.056000	4.711388	-11.911804	1018.500000	
0.057000	4.699367	-12.129577	1018.500000	
0.058000	4.687129	-12.345718	1018.500000	
0.059000	4.674676	-12.560208	1018.500000	
0.060000	4.662009	-12.773026	1018.500000	
0.061000	4.649131	-12.984152	1018.500000	
0.062000	4.636042	-13.193569	1018.500000	
0.063000	4.622744	-13.401258	1018.500000	
0.064000	4.609240	-13.607202	1018.500000	
0.065000	4.595530	-13.811385	1018.500000	
0.066000	4.581617	-14.013789	1018.500000	
0.067000	4.567503	-14.214401	1018.500000	
0.068000	4.553189	-14.413205	1018.500000	
0.069000	4.538677	-14.610188	1018.500000	
0.070000	4.523970	-14.805335	1018.500000	
0.071000	4.509067	-14.998635	1018.500000	
0.072000	4.493973	-15.190075	1018.500000	
0.073000	4.478688	-15.379645	1018.500000	
0.074000	4.463214	-15.567332	1018.500000	
0.075000	4.447554	-15.753128	1018.500000	
0.076000	4.431709	-15.937023	1018.500000	
0.077000	4.415680	-16.119008	1018.500000	
0.078000	4.399471	-16.299075	1018.500000	
0.079000	4.383083	-16.477217	1018.500000	
0.080000	4.366517	-16.653426	1018.500000	
0.081000	4.349777	-16.827697	1018.500000	
0.082000	4.332863	-17.000024	1018.500000	
0.083000	4.315777	-17.170403	1018.500000	
0.084000	4.298523	-17.338828	1018.500000	
0.085000	4.281100	-17.505296	1018.500000	
0.086000	4.263513	-17.669804	1018.500000	
0.087000	4.245761	-17.832350	1018.500000	
0.088000	4.227849	-17.992931	1018.500000	
0.089000	4.209776	-18.151547	1018.500000	
0.090000	4.191546	-18.308196	1018.500000	
0.091000	4.173160	-18.462879	1018.500000	
0.092000	4.154621	-18.615596	1018.500000	
0.093000	4.135930	-18.766348	1018.500000	
0.094000	4.117089	-18.915136	1018.500000	
0.095000	4.098100	-19.061963	1018.500000	
0.096000	4.078966	-19.206830	1018.500000	
0.097000	4.059687	-19.349742	1018.500000	
0.098000	4.040267	-19.490702	1018.500000	
0.099000	4.020706	-19.629714	1018.500000	
0.100000	4.001008	-19.766783	1018.500000	
0.101000	3.981174	-19.901914	1018.500000	
0.102000	3.961205	-20.035112	1018.500000	
0.103000	3.941104	-20.166384	1018.500000	
0.104000	3.920873	-20.295736	1018.500000	
0.105000	3.900513	-20.423176	1018.500000	
0.106000	3.880027	-20.548710	1018.500000	
0.107000	3.859416	-20.672348	1018.500000	
0.108000	3.838683	-20.794096	1018.500000	
0.109000	3.817829	-20.913965	1018.500000	
0.110000	3.796856	-21.031963	1018.500000	
0.111000	3.775765	-21.148099	1018.500000	
0.112000	3.754560	-21.262385	1018.500000	
0.113000	3.733241	-21.374829	1018.500000	
0.114000	3.711811	-21.485443	1018.500000	
0.115000	3.690271	-21.594239	1018.500000	
0.116000	3.668623	-21.701226	1018.500000	
0.117000	3.646869	-21.806418	1018.500000	
0.118000	3.625011	-21.909826	1018.500000	
0.119000	3.603050	-22.011463	1018.500000	
0.120000	3.580989	-22.111341	1018.500000	
0.121000	3.558828	-22.209474	1018.500000	
0.122000	3.536570	-22.305875	1018.500000	
0.123000	3.514217	-22.400557	1018.500000	
0.124000	3.491770	-22.493535	1018.500000	
0.125000	3.469230	-22.584822	1018.500000	
0.126000	3.446601	-22.674433	1018.500000	
0.127000	3.423882	-22.762383	1018.500000	
0.128000	3.401076	-22.848686	1018.500000	
0.129000	3.378185	-22.933358	1018.500000	
0.130000	3.355210	-23.016413	1018.500000	
0.131000	3.332153	-23.097868	1018.500000	
0.132000	3.309015	-23.177738	1018.500000	
0.133000	3.285798	-23.256039	1018.500000	
0.134000	3.262503	-23.332787	1018.500000	
0.135000	3.239133	-23.407998	1018.500000	
0.136000	3.215688	-23.481688	1018.500000	
0.137000	3.192170	-23.553875	1018.500000	
0.138000	3.168581	-23.624575	1018.500000	
0.139000	3.144921	-23.693804	1018.500000	
0.140000	3.121194	-23.761580	1018.500000	
0.141000	3.097399	-23.827919	1018.500000	
0.142000	3.073538	-23.892839	1018.500000	
0.143000	3.049613	-23.956358	1018.500000	
0.144000	3.025626	-24.018491	1018.500000	
0.145000	3.001577	-24.079257	1018.500000	
0.146000	2.977468	-24.138674	1018.500000	
0.147000	2.953300	-24.196758	1018.500000	
0.148000	2.929075	-24.253527	1018.500000	
0.149000	2.904793	-24.309000	1018.500000	
0.150000	2.880457	-24.363193	1018.500000	
0.151000	2.856067	-24.416124	1018.500000	
0.152000	2.831625	-24.467812	1018.500000	
0.153000	2.807132	-24.518274	1018.500000	
0.154000	2.782589	-24.567527	1018.500000	
0.155000	2.757998	-24.615590	1018.500000	
0.156000	2.733358	-24.662481	1018.500000	
0.157000	2.708673	-24.708216	1018.500000	
0.158000	2.683942	-24.752814	1018.500000	
0.159000	2.659168	-24.796293	1018.500000	
0.160000	2.634350	-24.838671	1018.500000	
0.161000	2.609491	-24.879964	1018.500000	
0.162000	2.584591	-24.920191	1018.500000	
0.163000	2.559651	-24.959370	1018.500000	
0.164000	2.534672	-24.997517	1018.500000	
0.165000	2.509656	-25.034651	1018.500000	
0.166000	2.484603	-25.070789	1018.500000	
0.167000	2.459515	-25.105947	1018.500000	
0.168000	2.434392	-25.140145	1018.500000	
0.169000	2.409235	-25.173398	1018.500000	
0.170000	2.384045	-25.205724	1018.500000	
0.171000	2.358824	-25.237140	1018.500000	
0.172000	2.333571	-25.267664	1018.500000	
0.173000	2.308289	-25.297311	1018.500000	
0.174000	2.282977	-25.326098	1018.500000	
0.175000	2.257637	-25.354044	1018.500000	
0.176000	2.232269	-25.381163	1018.500000	
0.177000	2.206875	-25.407472	1018.500000	
0.178000	2.181454	-25.432988	1018.500000	
0.179000	2.156009	-25.457727	1018.500000	
0.180000	2.130539	-25.481705	1018.500000	
0.181000	2.105046	-25.504938	1018.500000	
0.182000	2.079530	-25.527442	1018.500000	
0.183000	2.053991	-25.549233	1018.500000	
0.184000	2.028431	-25.570325	1018.500000	
0.185000	2.002851	-25.590736	1018.500000	
0.186000	1.977250	-25.610479	1018.500000	
0.187000	1.951630	-25.629570	1018.500000	
0.188000	1.925991	-25.648024	1018.500000	
0.189000	1.900334	-25.665857	1018.500000	
0.190000	1.874660	-25.683081	1018.500000	
0.191000	1.848968	-25.699713	1018.500000	
0.192000	1.823260	-25.715766	1018.500000	
0.193000	1.797537	-25.731255	1018.500000	
0.194000	1.771798	-25.746193	1018.500000	
0.195000	1.746045	-25.760595	1018.500000	
0.196000	1.720277	-25.774474	1018.500000	
0.197000	1.694496	-25.787844	1018.500000	
0.198000	1.668702	-25.800718	1018.500000	
0.199000	1.642895	-25.813110	1018.500000	
0.200000	1.617075	-25.825032	1018.500000	
0.201000	1.591245	-25.836497	1018.500000	
0.202000	1.565403	-25.847517	1018.500000	
0.203000	1.539550	-25.858106	1018.500000	
0.204000	1.513687	-25.868276	1018.500000	
0.205000	1.487813	-25.878038	1018.500000	
0.206000	1.461931	-25.887405	1018.500000	
0.207000	1.436039	-25.896388	1018.500000	
0.208000	1.410138	-25.904998	1018.500000	
0.209000	1.384229	-25.913248	1018.500000	
0.210000	1.358312	-25.921148	1018.500000	
0.211000	1.332387	-25.928709	1018.500000	
0.212000	1.306454	-25.935942	1018.500000	
0.213000	1.280515	-25.942858	1018.500000	
0.214000	1.254569	-25.949467	1018.500000	
0.215000	1.228616	-25.955778	1018.500000	
0.216000	1.202657	-25.961803	1018.500000	
0.217000	1.176692	-25.967550	1018.500000	
0.218000	1.150722	-25.973030	1018.500000	
0.219000	1.124747	-25.978251	1018.500000	
0.220000	1.098766	-25.983223	1018.500000	
0.221000	1.072780	-25.987955	1018.500000	
0.222000	1.046790	-25.992456	1018.500000	
0.223000	1.020795	-25.996733	1018.500000	
0.224000	0.994797	-26.000796	1018.500000	
0.225000	0.968794	-26.004653	1018.500000	
0.226000	0.942787	-26.008311	1018.500000	
0.227000	0.916777	-26.011779	1018.500000	
0.228000	0.890764	-26.015063	1018.500000	
0.229000	0.864747	-26.018171	1018.500000	
0.230000	0.838728	-26.021111	1018.500000	
0.231000	0.812705	-26.023889	1018.500000	
0.232000	0.786680	-26.026511	1018.500000	
0.233000	0.760652	-26.028985	1018.500000	
0.234000	0.734622	-26.031316	1018.500000	
0.235000	0.708589	-26.033511	1018.500000	
